Player,Span,Matches,Innings,Runs,Average,highestscore,100s,50s
SR Tendulkar (IND),1989-2013,664,782,34357,48.52,248*,100,164
KC Sangakkara (Asia/ICC/SL),2000-2015,594,666,28016,46.77,319,63,153
V Kohli (IND),2008-2025,556,623,27975,52.58,254*,84,145
RT Ponting (AUS/ICC),1995-2012,560,668,27483,45.95,257,71,146
DPMD Jayawardene (Asia/SL),1997-2015,652,725,25957,39.15,374,54,136
JH Kallis (Afr/ICC/SA),1995-2014,519,617,25534,49.1,224,62,149
R Dravid (Asia/ICC/IND),1996-2012,509,605,24208,45.41,270,48,146
BC Lara (ICC/WI),1990-2007,430,521,22358,46.28,400*,53,111
JE Root (ENG),2012-2026,381,503,22166,49.36,262,60,114
ST Jayasuriya (Asia/SL),1989-2011,586,651,21032,34.14,340,42,103
S Chanderpaul (WI),1994-2015,454,553,20988,45.72,203*,41,125
Inzamam-ul-Haq (Asia/ICC/PAK),1991-2007,499,551,20580,43.32,329,35,129
RG Sharma (IND),2007-2025,505,538,20048,42.47,264,50,111
AB de Villiers (Afr/SA),2004-2018,420,484,20014,48.11,278*,47,109
CH Gayle (ICC/WI),1999-2021,483,551,19593,37.97,333,42,105
KS Williamson (NZ),2010-2025,376,449,19292,48.35,251,48,103
DA Warner (AUS),2009-2024,383,474,18995,42.39,335*,49,98
HM Amla (SA/World),2004-2019,349,437,18672,46.56,311*,55,88
SC Ganguly (Asia/IND),1992-2008,424,488,18575,41.46,239,38,107
SR Waugh (AUS),1985-2004,493,548,18496,41.65,200,35,95
LRPL Taylor (NZ/Samoa),2006-2025,454,513,18244,42.62,290,40,93
Younis Khan (PAK),2000-2017,408,491,17790,39.88,313,41,83
AR Border (AUS),1978-1994,429,517,17698,40.77,205,30,102
TM Dilshan (SL),1999-2016,497,527,17671,38.16,193,39,83
SPD Smith (AUS),2010-2026,360,429,17657,47.72,239,49,84
Mohammad Yousuf (Asia/PAK),1998-2010,381,432,17300,45.52,223,39,97
MS Dhoni (Asia/IND),2004-2019,538,526,17266,44.96,224,16,108
V Sehwag (Asia/ICC/IND),1999-2013,374,443,17253,40.31,319,38,72
GC Smith (Afr/ICC/SA),2002-2014,347,432,17236,42.34,277,37,90
MJ Clarke (AUS),2003-2015,394,449,17112,45.26,329*,36,86
ME Waugh (AUS),1988-2002,372,445,16529,40.51,173,38,97
Javed Miandad (PAK),1975-1996,357,407,16213,46.99,280*,31,93
DL Haynes (WI),1978-1994,354,439,16135,41.8,184,35,96
Mushfiqur Rahim (BAN),2005-2025,476,533,15805,34.43,219*,22,83
AN Cook (ENG),2006-2018,257,387,15737,42.88,294,38,76
PA de Silva (SL),1984-2003,401,455,15645,37.78,267,31,86
